cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
21	1	453.103	1	453.103	0	1	0	0	0	0	0	all_msms_spectra.mgf:149###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=21	1	1
22	1	289.072	1	289.072	0	1	0	0	0	0	0	all_msms_spectra.mgf:15###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=22	1	1
23	1	137.01	1	137.01	0	1	0	0	0	0	0	all_msms_spectra.mgf:150###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=23	1	1
24	1	723.19	1	723.19	0	1	0	0	0	0	0	all_msms_spectra.mgf:151###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=24	1	1
25	1	891.194	1	891.194	0	1	0	0	0	0	0	all_msms_spectra.mgf:152###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=25	1	1
26	1	329.232	1	329.232	0	1	0	0	0	0	0	all_msms_spectra.mgf:158###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=26	1	0
27	1	601.117	1	601.117	0	1	0	0	0	0	0	all_msms_spectra.mgf:159###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=27	1	1
28	1	745.14	1	745.14	0	1	0	0	0	0	0	all_msms_spectra.mgf:16###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=28	1	1
29	1	287.222	1	287.222	0	1	0	0	0	0	0	all_msms_spectra.mgf:162###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=29	1	0
30	1	331.065	1	331.065	0	1	0	0	0	0	0	all_msms_spectra.mgf:165###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=30	1	1
31	1	477.103	1	477.103	0	1	0	0	0	0	0	all_msms_spectra.mgf:166###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=31	1	1
32	1	319.045	1	319.045	0	1	0	0	0	0	0	all_msms_spectra.mgf:17###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=32	1	1
33	1	593.093	1	593.093	0	1	0	0	0	0	0	all_msms_spectra.mgf:18###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=33	1	1
34	1	684.122	1	684.122	0	1	0	0	0	0	0	all_msms_spectra.mgf:19###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=34	1	0
35	1	332.076	1	332.076	0	1	0	0	0	0	0	all_msms_spectra.mgf:2###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=35	1	0
36	1	593.092	1	593.092	0	1	0	0	0	0	0	all_msms_spectra.mgf:20###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=36	1	1
37	1	387.167	1	387.167	0	1	0	0	0	0	0	all_msms_spectra.mgf:21###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=37	1	1
38	1	249.089	1	249.089	0	1	0	0	0	0	0	all_msms_spectra.mgf:22###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=38	1	1
39	1	593.092	1	593.092	0	1	0	0	0	0	0	all_msms_spectra.mgf:23###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=39	1	1
40	1	457.075	1	457.075	0	1	0	0	0	0	0	all_msms_spectra.mgf:24###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=40	1	1
41	1	249.089	1	249.089	0	1	0	0	0	0	0	all_msms_spectra.mgf:25###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=41	1	1
42	1	305.067	1	305.067	0	1	0	0	0	0	0	all_msms_spectra.mgf:26###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=42	1	1
43	1	305.065	1	305.065	0	1	0	0	0	0	0	all_msms_spectra.mgf:27###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=43	1	1
44	1	609.089	1	609.089	0	1	0	0	0	0	0	all_msms_spectra.mgf:28###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=44	1	1
45	1	289.072	1	289.072	0	1	0	0	0	0	0	all_msms_spectra.mgf:29###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=45	1	1
46	1	441.082	1	441.082	0	1	0	0	0	0	0	all_msms_spectra.mgf:3###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=46	1	1
47	1	913.145	1	913.145	0	1	0	0	0	0	0	all_msms_spectra.mgf:31###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=47	1	1
48	1	609.087	1	609.087	0	1	0	0	0	0	0	all_msms_spectra.mgf:32###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=48	1	1
49	1	806.167	1	806.167	0	1	0	0	0	0	0	all_msms_spectra.mgf:33###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=49	1	0
50	1	913.143	1	913.143	0	1	0	0	0	0	0	all_msms_spectra.mgf:34###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=50	1	1
51	1	331.066	1	331.066	0	1	0	0	0	0	0	all_msms_spectra.mgf:35###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=51	1	1
52	1	1140.67	1	1140.67	0	1	0	0	0	0	0	all_msms_spectra.mgf:37###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=52	1	1
53	1	806.167	1	806.167	0	1	0	0	0	0	0	all_msms_spectra.mgf:38###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=53	1	0
54	1	305.066	1	305.066	0	1	0	0	0	0	0	all_msms_spectra.mgf:39###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=54	1	1
55	1	332.076	1	332.076	0	1	0	0	0	0	0	all_msms_spectra.mgf:4###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=55	1	0
56	1	636.099	1	636.099	0	1	0	0	0	0	0	all_msms_spectra.mgf:40###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=56	1	0
57	1	891.195	1	891.195	0	1	0	0	0	0	0	all_msms_spectra.mgf:42###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=57	1	1
58	1	761.134	1	761.134	0	1	0	0	0	0	0	all_msms_spectra.mgf:43###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=58	1	1
59	1	875.201	1	875.201	0	1	0	0	0	0	0	all_msms_spectra.mgf:44###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=59	1	1
60	1	875.199	1	875.199	0	1	0	0	0	0	0	all_msms_spectra.mgf:46###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=60	1	1
61	1	761.135	1	761.135	0	1	0	0	0	0	0	all_msms_spectra.mgf:47###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=61	1	1
62	1	636.099	1	636.099	0	1	0	0	0	0	0	all_msms_spectra.mgf:48###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=62	1	0
63	1	1140.67	1	1140.67	0	1	0	0	0	0	0	all_msms_spectra.mgf:49###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=63	1	1
64	1	484.087	1	484.087	0	1	0	0	0	0	0	all_msms_spectra.mgf:5###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=64	1	0
65	1	304.038	1	304.038	0	1	0	0	0	0	0	all_msms_spectra.mgf:50###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=65	1	0
66	1	480.31	1	480.31	0	1	0	0	0	0	0	all_msms_spectra.mgf:51###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=66	1	1
67	1	196.06	1	196.06	0	1	0	0	0	0	0	all_msms_spectra.mgf:52###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=67	1	0
68	1	504.309	1	504.309	0	1	0	0	0	0	0	all_msms_spectra.mgf:53###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=68	1	1
69	1	591.098	1	591.098	0	1	0	0	0	0	0	all_msms_spectra.mgf:54###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=69	1	1
70	1	169.013	1	169.013	0	1	0	0	0	0	0	all_msms_spectra.mgf:56###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=70	1	1
71	1	321.024	1	321.024	0	1	0	0	0	0	0	all_msms_spectra.mgf:57###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=71	1	1
72	1	609.088	1	609.088	0	1	0	0	0	0	0	all_msms_spectra.mgf:58###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=72	1	1
73	1	761.135	1	761.135	0	1	0	0	0	0	0	all_msms_spectra.mgf:6###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=73	1	1
74	1	589.107	1	589.107	0	1	0	0	0	0	0	all_msms_spectra.mgf:61###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=74	1	1
75	1	806.165	1	806.165	0	1	0	0	0	0	0	all_msms_spectra.mgf:63###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=75	1	0
76	1	1049.2	1	1049.2	0	1	0	0	0	0	0	all_msms_spectra.mgf:64###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=76	1	1
77	1	599.104	1	599.104	0	1	0	0	0	0	0	all_msms_spectra.mgf:67###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=77	1	1
78	1	287.056	1	287.056	0	1	0	0	0	0	0	all_msms_spectra.mgf:68###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=78	1	1
79	1	730.163	1	730.163	0	1	0	0	0	0	0	all_msms_spectra.mgf:69###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=79	1	0
80	1	1027.21	1	1027.21	0	1	0	0	0	0	0	all_msms_spectra.mgf:7###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=80	1	1
81	1	453.044	1	453.044	0	1	0	0	0	0	0	all_msms_spectra.mgf:70###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=81	1	1
82	1	293.212	1	293.212	0	1	0	0	0	0	0	all_msms_spectra.mgf:71###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=82	1	0
83	1	433.078	1	433.078	0	1	0	0	0	0	0	all_msms_spectra.mgf:72###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=83	1	1
84	1	283.024	1	283.024	0	1	0	0	0	0	0	all_msms_spectra.mgf:75###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=84	1	1
85	1	208.027	1	208.027	0	1	0	0	0	0	0	all_msms_spectra.mgf:76###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=85	1	0
86	1	493.118	1	493.118	0	1	0	0	0	0	0	all_msms_spectra.mgf:78###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=86	1	1
87	1	743.111	1	743.111	0	1	0	0	0	0	0	all_msms_spectra.mgf:79###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=87	1	1
88	1	169.013	1	169.013	0	1	0	0	0	0	0	all_msms_spectra.mgf:8###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=88	1	1
89	1	411.022	1	411.022	0	1	0	0	0	0	0	all_msms_spectra.mgf:80###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=89	1	1
90	1	169.013	1	169.013	0	1	0	0	0	0	0	all_msms_spectra.mgf:82###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=90	1	1
91	1	209.031	1	209.031	0	1	0	0	0	0	0	all_msms_spectra.mgf:84###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=91	1	1
92	1	489.213	1	489.213	0	1	0	0	0	0	0	all_msms_spectra.mgf:86###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=92	1	1
93	1	289.073	1	289.073	0	1	0	0	0	0	0	all_msms_spectra.mgf:87###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=93	1	1
94	1	515.175	1	515.175	0	1	0	0	0	0	0	all_msms_spectra.mgf:88###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=94	1	1
95	1	675.227	1	675.227	0	1	0	0	0	0	0	all_msms_spectra.mgf:89###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=95	1	1
96	1	463.087	1	463.087	0	1	0	0	0	0	0	all_msms_spectra.mgf:9###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=96	1	1
97	1	761.134	1	761.134	0	1	0	0	0	0	0	all_msms_spectra.mgf:93###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=97	1	1
98	1	439.086	1	439.086	0	1	0	0	0	0	0	all_msms_spectra.mgf:95###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=98	1	1
